classificação;arquivo;pergunta;alternativa correta;alternativa llm;acertou;;;
Regimentos;CÓDIGO DISCIPLINAR DISCENTE.pdf;"Em quantos dias prescreve o processo disciplinar estudantil na UFRGS? A) 60 dias; B) 120 dias; C) 180 dias; D) 240 dias; E) 365 dias;";D;D;sim;;;
Regimentos;Normas para o programa de estágio...pdf;"De acordo com a regulamentação, a realização de estágio na UFRGS gera que tipo de vínculo? A) Empregatício; B) Não acarreta vínculo empregatício; C) Vínculo de servidor público; D) Vínculo vitalício; E) Vínculo de prestação de serviço técnico;";B;B;sim;;;
Regimentos;Regimento.pdf;"Qual o prazo máximo para a Direção enviar o Plano de Ação ao Conselho após a posse? A) 30 dias; B) 90 dias; C) 6 meses; D) 1 ano; E) 2 anos;";C;C;sim;;;
Regimentos;Regulamenta o aproveitamento de estudos...pdf;"Qual a duração máxima total permitida para o afastamento para estudos externos? A) Um mês; B) Dois semestres letivos; C) Quatro semestres; D) Indeterminada; E) Apenas as férias;";B;B;sim;;;
Regimentos;Regulamenta o ordenamento de matrícula...pdf;"Qual o valor atribuído ao índice I1 (seriação aconselhada) para alunos calouros? A) 0; B) 10; C) 100; D) 1; E) SU;";D;B;nao;;;
Regimentos;Regulamentação da dupla diplomação...pdf;"Através de qual modalidade os alunos em dupla diplomação conservam o vínculo com a UFRGS? A) Matrícula normal; B) Licença prêmio; C) Abandono justificado; D) Matrícula em trâmite; E) Afastamento para Realização de Estudos;";E;E;sim;;;
Regimentos;CÓDIGO DISCIPLINAR DISCENTE.pdf;"O CDD se aplica a infrações cometidas em quais espaços físicos ou virtuais? A) Apenas salas de aula; B) Somente no Restaurante Universitário; C) Apenas em Porto Alegre; D) Dependências da Universidade e locais de fazer universitário; E) Apenas em prédios tombados;";D;D;sim;;;
Regimentos;Normas para acompanhamento do desempenho...pdf;"Quando pode ser concedido um semestre adicional para evitar o jubilamento do aluno? A) Para qualquer aluno que solicitar; B) Se o aluno for monitor; C) Se for possível integralizar o currículo em um único semestre; D) Somente para bolsistas; E) Em caso de doença comprovada;";C;C;sim;;;
Regimentos;Normas para as atividades complementares...pdf;"O que é vedado à COMGRAD em relação às atividades complementares na graduação? A) Implementá-las; B) Coordená-las; C) Dar parecer de mérito; D) Determinar atividade complementar como obrigatória; E) Registrar no histórico;";D;D;sim;;;
Regimentos;Normas para o programa de estágio...pdf;"Quem atua como supervisor do estagiário obrigatoriamente na Parte Concedente? A) O Reitor; B) Profissional com formação ou experiência na área; C) O Diretor do INF; D) Outro estagiário veterano; E) O Presidente do Grêmio;";B;B;sim;;;
Regimentos;Regimento.pdf;"Quem indica a representação discente nos diversos organismos do Instituto de Informática? A) O Diretório Acadêmico da Computação; B) O Chefe do Departamento; C) O Conselho Universitário; D) Os pais dos alunos; E) A empresa Júnior;";A;A;sim;;;
Regimentos;Regulamenta o aproveitamento de estudos...pdf;"Disciplinas de outra IES podem ser aproveitadas se tiverem equivalência mínima de quê? A) Apenas o nome igual; B) Cor do livro texto; C) Preço da mensalidade; D) Nome do professor; E) Conteúdo programático e carga horária;";E;E;sim;;;
Regimentos;Regulamenta o ordenamento de matrícula...pdf;"O que significa o valor ""S0"" no índice I1 de ordenamento de matrícula? A) Aluno calouro; B) Aluno jubilado; C) Etapa em que o aluno não foi aprovado em todas as obrigatórias; D) Aluno com média 10; E) Matrícula cancelada;";C;A;nao;;;
Regimentos;Regulamentação do Programa Especial... PEG.pdf;"Qual o objetivo principal do Programa Especial de Graduação (PEG) na UFRGS? A) Substituir os cursos regulares; B) Cobrar mensalidades; C) Formar técnicos em hardware; D) Criar novos campi em outros países; E) Atender necessidades emergenciais ou inovadoras;";E;E;sim;;;
Regimentos;CÓDIGO DISCIPLINAR DISCENTE.pdf;"Devassar o conteúdo de correspondência alheia digital ou física é uma infração: A) Leve; B) Grave; C) Gravíssima; D) Média; E) Ética simples;";D;C;nao;;;
Regimentos;Normas para acompanhamento do desempenho...pdf;"Qual o peso para o cálculo do Coeficiente de Desperdício em caso de conceito FF (1ª vez)? A) Peso 1; B) Peso 2; C) Peso 3; D) Peso 0; E) Peso 4;";B;C;nao;;;
Regimentos;Diretrizes curriculares... UFRGS.pdf;"O caráter político e cultural do currículo na UFRGS visa a consolidação de qual tipo de sociedade? A) Plural e solidária; B) Monárquica; C) Puramente tecnocrata; D) Militarizada; E) Oligárquica;";A;A;sim;;;
Regimentos;Normas para o programa de estágio...pdf;"Qual a exigência mínima de Taxa de Integralização (TIM) para realizar estágio não obrigatório? A) 10%; B) 30%; C) 50% da TIM do respectivo curso; D) 70%; E) 100%;";C;C;sim;;;
Regimentos;Regulamenta o ordenamento de matrícula...pdf;"Qual valor o índice I2 atribui aos discentes com ingresso por transferência interna? A) 10; B) 6; C) 1; D) 9; E) 5;";B;C;nao;;;
Regimentos;Regimento.pdf;"O Centro de Empreendimentos em Informática (CEI) é classificado regimentalmente como: A) Departamento de Ensino; B) Empresa Privada; C) Entidade Estudantil; D) Laboratório de Física; E) Órgão Auxiliar do Instituto;";E;E;sim;;;
Regimentos;Regulamenta o aproveitamento de estudos...pdf;"De onde devem provir os estudos realizados para fins de aproveitamento oficial na UFRGS? A) De cursos técnicos apenas; B) De cursos de idiomas; C) De experiências de vida; D) De outra instituição de ensino superior; E) De cursos de culinária;";D;D;sim;;;
Regimentos;CÓDIGO DISCIPLINAR DISCENTE.pdf;"Onde deve ser registrada obrigatoriamente toda denúncia de provável falta disciplinar? A) Apenas verbalmente; B) Em redes sociais; C) Encaminhada à Direção da Unidade à qual o discente está vinculado; D) No mural do campus; E) No portal de notícias local;";C;C;sim;;;
Regimentos;Regulamentação da dupla diplomação...pdf;"Qual o percentual mínimo da carga horária que o aluno deve cursar na UFRGS para obter o diploma? A) 30%; B) 10%; C) 50%; D) 70%; E) 100%;";A;D;nao;;;
PlanoEnsino;INF01032.pdf;"Na disciplina de Empreendimento em Informática, qual o peso atribuído ao Trabalho Final no cálculo da média final? A) Peso 2; B) Peso 5; C) Peso 3; D) Peso 7; E) Peso 10;";B;B;sim;;;
PlanoEnsino;INF01043.pdf;"De acordo com o plano de Interação Homem-Computador, qual o peso da terceira apresentação (avaliação) no projeto prático? A) 20%; B) 30%; C) 50%; D) 40%; E) 10%;";D;D;sim;;;
PlanoEnsino;INF01046.pdf;"Na disciplina de Fundamentos de Processamento de Imagens, quanto tempo do cronograma é dedicado aos Princípios de Análise de Imagens? A) 2 semanas; B) 1 semana; C) 3 semanas; D) 4 semanas; E) 5 semanas;";A;C;nao;;;
PlanoEnsino;INF01047.pdf;"Qual o limite da carga horária que pode ser ministrada de forma remota na disciplina de Fundamentos de Computação Gráfica? A) 10%; B) 30%; C) 40%; D) 50%; E) 20%;";E;E;sim;;;
PlanoEnsino;INF01048.pdf;"Segundo o plano de Inteligência Artificial, qual a fórmula para o cálculo da Nota Final (NF) unindo trabalhos e teoria? A) NF = TP + AT; B) NF = (TP + AT) / 2; C) NF = (TP0.4) + (AT0.6); D) NF = (TP0.6) + (AT0.4); E) NF = AT;";C;C;sim;;;
PlanoEnsino;INF01058.pdf;"Na disciplina de Circuitos Digitais, o conceito ""A"" é atribuído quando a média final (MF) atinge qual valor? A) MF > 9,5; B) MF > 9,2; C) MF > 9,0; D) MF > 8,5; E) MF > 9,8;";B;C;nao;;;
PlanoEnsino;INF01107.pdf;"Na disciplina de Introdução à Arquitetura de Computadores, qual o peso do conjunto de verificações (V1, V2 e V3) na média final? A) 0,5; B) 0,6; C) 0,4; D) 0,8; E) 0,2;";D;D;sim;;;
PlanoEnsino;INF01108.pdf;"Em Arquitetura e Organização de Computadores I, a média final é calculada através de qual método matemático entre tarefas e trabalhos? A) Média harmônica; B) Média aritmética simples; C) Média geométrica; D) Média ponderada por pesos ímpares; E) Mediana;";A;B;nao;;;
PlanoEnsino;INF01112.pdf;"De acordo com o plano de Arquitetura e Organização de Computadores II, qual o peso individual de cada avaliação presencial (AP1 e AP2)? A) Peso 1; B) Peso 3; C) Peso 2; D) Peso 4; E) Peso 5;";C;C;sim;;;
PlanoEnsino;INF01113.pdf;"Na disciplina de Organização de Computadores B, qual destes tópicos faz parte da súmula do curso? A) Apenas redes sem fio; B) Exclusivamente banco de dados; C) Apenas sociologia; D) Somente química orgânica; E) Máquinas CISC X RISC;";E;E;sim;;;
PlanoEnsino;INF01120.pdf;"Na disciplina de Técnicas de Construção de Programas, qual o percentual de peso da média das provas na formação do conceito final? A) 50%; B) 40%; C) 25%; D) 10%; E) 60%;";A;C;nao;;;
PlanoEnsino;INF01121.pdf;"Em Modelos de Linguagem de Programação, qual o prazo máximo para a disponibilização das notas após a realização das avaliações? A) 15 dias; B) 20 dias; C) 10 dias; D) 30 dias; E) 7 dias;";B;E;nao;;;
PlanoEnsino;INF01124.pdf;"Na disciplina de Classificação e Pesquisa de Dados, o conceito ""B"" é atribuído em qual intervalo de média final (MG)? A) MG >= 9,0; B) MG >= 6,0; C) MG entre 7,5 e 9,0; D) MG entre 8,0 e 10,0; E) MG < 6,0;";C;C;sim;;;
PlanoEnsino;INF01127.pdf;"No curso de Engenharia de Software N, qual o peso total do conjunto de trabalhos práticos na média ponderada? A) Peso 2; B) Peso 4; C) Peso 1; D) Peso 5; E) Peso 3;";D;D;sim;;;
PlanoEnsino;INF01142.pdf;"Na disciplina de Sistemas Operacionais I N, qual o peso da média ponderada das atividades e projetos extra-classe (MP)? A) 1/2; B) 3/4; C) 1/4; D) 2/3; E) 1/3;";E;E;sim;;;
PlanoEnsino;INF01145.pdf;"Na disciplina de Fundamentos de Banco de Dados, qual o peso atribuído ao Trabalho Prático na nota final? A) 40%; B) 30%; C) 20%; D) 50%; E) 10%;";A;A;sim;;;
PlanoEnsino;INF01147.pdf;"Em Compiladores, as atividades do projeto de construção do compilador são divididas em quantas etapas incrementais? A) Três etapas; B) Sete etapas; C) Cinco etapas; D) Dez etapas; E) Duas etapas;";B;B;sim;;;
PlanoEnsino;INF01151.pdf;"Para aprovação em Sistemas Operacionais II N, qual a nota mínima obrigatória em cada uma das provas teóricas? A) 5,0; B) 6,0; C) 3,0; D) 4,0; E) 7,0;";C;C;sim;;;
PlanoEnsino;INF01154.pdf;"Qual a frequência mínima de presença exigida para aprovação na disciplina de Redes de Computadores N? A) 85%; B) 80%; C) 90%; D) 75%; E) 100%;";D;D;sim;;;
